CITY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Carson,91599,91690,92162,92535,92684,92752,92572,92193,91394,91394,95388,93218,92113,91139
Cathedral City,51452,52077,52478,52846,53187,53516,53943,54413,55007,55007,51628,52313,52361,52356
Ceres,45901,46057,46263,46482,46918,47431,47985,48340,48706,48706,49279,49098,48677,48397
Cerritos,49042,49223,49384,49507,49532,49546,50346,50697,49859,49859,49399,48318,47445,46797
Chico,86783,87269,87915,88362,89491,90369,91564,93066,103301,103301,102755,100508,101758,101301
Chino,78644,79591,79949,80799,84296,85169,87468,89601,94371,94371,91038,91632,93055,93114
Chino Hills,74963,75639,76042,76285,76509,77826,78452,80115,83853,83853,78456,78381,77784,77212
Chowchilla,18718,18892,18049,17357,18843,18391,18179,18457,18310,18310,18816,18770,18750,19328
Chula Vista,244648,248318,252379,256691,259885,264206,266238,269046,274492,274492,275809,275774,274823,274333
Citrus Heights,83273,83781,84308,84924,85665,86543,87179,87675,87796,87796,87544,87244,86527,86239
Claremont,34899,35190,35281,35650,35715,35962,35889,35835,36266,36266,37187,36681,36017,35640
Clayton,10958,11148,11271,11481,11667,11840,12008,12127,12265,12265,11058,10980,10847,10754
Clearlake,15267,15139,15067,15015,15052,15101,15526,15532,15267,15267,16697,16773,16589,16481
Cloverdale,8621,8650,8665,8716,8754,8774,8781,8741,8656,8656,9014,8982,8871,8825
Clovis,96386,97557,98588,99631,101904,103828,106353,109316,114584,114584,120770,123337,124873,125826
Coachella,40984,41878,42571,42960,43885,44344,44785,45280,45743,45743,42008,42511,42904,43590
Coalinga,18330,18303,17055,16974,16647,16755,16827,16988,17179,17179,17624,17015,16911,17369
Colfax,1957,1975,1987,1996,2000,1994,1997,1999,2002,2002,1991,2028,2050,2050
Colma Town,1435,1451,1470,1484,1497,1505,1500,1493,1489,1489,1498,1445,1418,1407
Colton,52261,52712,52945,53105,53706,54291,54507,54680,54824,54824,53975,54098,53735,53357
Colusa,6229,6190,6190,6171,6126,6105,6156,6146,6060,6060,6413,6433,6451,6527
Commerce,12840,12887,12929,12960,12964,12963,12922,12862,12661,12661,12318,12048,11831,11672
Compton,96442,96933,97350,97600,97634,97639,97281,97047,95605,95605,95394,93327,91829,90986
Concord,122505,123518,124678,125888,127128,128303,129036,129592,129295,129295,125286,124452,123112,122315
Corcoran,24467,24133,23694,23350,22834,22516,22716,21820,21960,21960,22708,22624,22881,22044
Corning,7676,7643,7612,7550,7516,7531,7546,7582,7710,7710,8217,8170,8140,8069
Corona,153052,154693,157405,158763,160419,163154,166067,167310,169868,169868,157468,159433,159803,160238
Coronado,23961,23336,23194,23347,23549,23682,25084,24323,23731,23731,18150,19046,18360,18437
Corte Madera Town,9273,9350,9386,9469,9908,9899,9864,9820,9751,9751,10209,10161,10016,9947
Costa Mesa,110221,111151,111790,112244,112485,112808,112933,113665,113003,113003,111781,110789,109548,108354
Cotati,7273,7303,7320,7375,7411,7427,7443,7451,7410,7410,7590,7535,7449,7430
Covina,47785,47963,48211,48350,48538,48569,48393,48178,47450,47450,51170,50222,49353,48728
Crescent City,7596,7517,7393,7169,6780,6767,6644,6386,6787,6787,6516,6184,6018,5611
Cudahy,23809,23901,23987,24050,24070,24111,24039,23934,23569,23569,22719,22232,21905,21723
Culver City,38888,39024,39208,39312,39329,39369,39231,39024,39185,39185,40666,39983,39444,39041
Cupertino,58689,59172,59769,60198,60592,60519,60900,60588,59276,59276,60111,58515,57661,57285
Cypress,47957,48399,48677,48971,48936,48994,48813,48835,49006,49006,50047,49594,49175,48782
Daly City,101262,102460,103915,104980,105887,106538,106882,106733,106280,106280,104858,101856,100329,99833
Dana Point,33336,33634,33830,33962,33927,33968,33931,33768,33577,33577,33057,32815,32647,32567
Danville Town,41987,42379,42801,43262,43817,44311,44715,44727,44510,44510,43560,43523,43253,42999
Davis,65584,65657,65781,66213,66545,67367,68028,68802,69413,69413,66897,67171,66747,65832
Delano,53130,53620,52403,52331,52447,52495,52568,52877,53573,53573,49860,50856,51627,51500
Del Mar,4173,4202,4236,4273,4299,4330,4348,4340,4319,4319,3945,3913,3883,3867
Del Rey Oaks,1628,1640,1655,1664,1670,1674,1679,1672,1654,1654,1590,1582,1564,1550
Desert Hot Springs,27172,27422,27628,27817,28008,28145,28397,28648,28878,28878,32523,32871,33098,33438
Diamond Bar,55588,55854,56087,56233,56279,56429,56581,56334,55720,55720,54886,53711,52744,52041
Dinuba,21570,22606,22809,23233,23528,23554,23875,23903,24461,24461,24794,25346,25578,25863
Dixon,18431,18490,18619,18931,19098,19299,19766,20138,20698,20698,19032,19143,19178,19309
Dorris,941,930,915,902,900,903,902,903,897,897,861,863,850,832
Dos Palos,4962,5003,5017,5026,5046,5084,5217,5407,5527,5527,5785,5786,5758,5708
Downey,111785,112215,112582,112858,113091,113260,112896,112426,111126,111126,113964,111634,109932,108816
Duarte,21348,21425,21601,21646,21808,21809,21725,21624,21271,21271,21666,21242,21723,23131
Dublin,45903,46804,48700,52027,54554,57545,59579,60797,64826,64826,72311,70830,69842,69128
Dunsmuir,1640,1619,1595,1572,1567,1571,1571,1572,1564,1564,1702,1707,1680,1642
East Palo Alto,28222,28551,28926,29212,29482,29661,29811,29671,29314,29314,29948,28913,28400,28216
Eastvale,54054,54966,55627,56247,57386,59231,60670,62309,64157,64157,70041,70989,70724,70510
El Cajon,99823,100795,101537,102303,102789,103230,103527,103468,102708,102708,106075,105198,104042,102991
El Centro,42678,42977,43023,43316,43496,43655,44028,44114,44079,44079,44444,44307,43907,43772
El Cerrito,23644,23845,24074,24323,24551,24902,25458,25468,25508,25508,25941,25899,25724,25552
Elk Grove,153375,155615,158083,160251,162701,165997,169156,171425,174775,174775,176569,177964,178009,178444
El Monte,113677,114101,114843,115414,115627,115824,115550,115514,115487,115487,109087,106841,105052,103794
El Paso De Robles (Paso Robles),29786,30076,30399,30718,31108,31346,31722,31772,32153,32153,31484,31534,31316,31134
El Segundo,16656,16719,16796,16855,16900,16891,16835,16752,16610,16610,17216,16869,16607,16445
Emeryville,10125,10222,10358,10878,11311,11765,11792,11751,12086,12086,12918,12742,12632,12732
Encinitas,59684,60264,60890,61555,62023,62590,62921,62884,62709,62709,61997,61740,61281,60841
Escalon,7135,7190,7215,7216,7343,7474,7501,7550,7574,7574,7469,7463,7410,7355
Escondido,144440,146099,147570,148794,149708,150683,151204,151220,151625,151625,151014,150169,149034,148122
Etna,736,730,724,714,712,711,713,716,718,718,676,677,667,653
Eureka,27201,27161,26931,26895,26874,26902,27153,27126,26710,26710,26496,26367,26109,25734
Exeter,10341,10375,10420,10458,10490,10486,10477,10502,10485,10485,10324,10318,10254,10206
Fairfax Town,7450,7512,7545,7609,7631,7624,7602,7568,7522,7522,7586,7563,7465,7417
Fairfield,105598,106245,107497,109137,110727,112365,114456,115817,117133,117133,119833,119957,119957,120768
Farmersville,10585,10594,10639,10680,10711,10710,10702,10726,10703,10703,10397,10365,10291,10243
Ferndale,1374,1379,1367,1362,1363,1364,1371,1372,1352,1352,1399,1399,1395,1389
Fillmore,15013,15076,15117,15226,15324,15444,15557,15703,15870,15870,16499,16582,16690,17190
Firebaugh,7601,7764,7894,8053,8259,8276,8290,8294,8296,8296,8109,8297,8475,8547
Folsom,72110,72542,73042,72782,74950,75935,76999,77798,81328,81328,80804,81689,83241,84782
Fontana,197317,199880,201212,202670,203972,206163,208718,211122,214547,214547,209177,212489,214317,215465
Fort Bragg,7307,7277,7279,7268,7283,7277,7291,7308,7291,7291,6975,7052,7010,6919
Fort Jones,710,704,694,686,684,683,685,690,692,692,697,698,688,673
Fortuna,12048,12028,11927,11891,11973,12057,12199,12277,12259,12259,12496,12469,12390,12285
Foster City,30609,30965,32098,32416,32698,33470,34279,34292,33901,33901,33733,32735,32299,32180
Fountain Valley,55470,55950,56318,56601,56671,56643,56423,56051,55357,55357,56973,56397,55836,55468
Fowler,5665,5921,5929,5938,6028,6242,6353,6487,6790,6790,6750,6889,7054,7274
Fremont,214553,217391,221426,224796,228274,231687,233478,234544,241110,241110,230430,227953,226305,226208
Fresno,497769,501429,505414,508880,514100,518203,521426,525373,531576,531576,542710,544175,545253,545716
Fullerton,135291,136386,138103,138637,138840,139982,140454,139744,138632,138632,143267,140193,140390,139250
Galt,23739,24142,24274,24433,24760,25226,25619,26167,26536,26536,25652,25669,25626,25767
Gardena,58835,59114,59368,59788,59843,59946,59873,59871,59329,59329,60823,59633,58831,58377
Garden Grove,171181,172957,173809,174422,174423,174343,174571,173422,171644,171644,171863,170741,169398,168234
Gilroy,49006,49700,50718,51893,52538,53259,55369,57549,59032,59032,59398,58099,57759,58250
Glendale,191720,192656,193859,195318,198232,199197,200118,201804,199303,199303,195934,192153,189175,187050
Glendora,50376,50624,50795,51120,51065,51769,51882,51997,51544,51544,52408,51320,50489,49934
Goleta,30143,30176,30387,30639,30880,30963,30921,31098,30911,30911,32764,32738,32585,32665
Gonzales,8171,8230,8301,8349,8379,8402,8428,8396,8306,8306,8637,8565,8428,8327
Grand Terrace,12064,12155,12243,12301,12334,12387,12460,12557,12584,12584,13155,13145,13039,12939
Grass Valley,12876,12903,12820,12784,12840,12929,12927,12932,12817,12817,14087,14261,14138,14074
Greenfield,16414,16540,16682,16766,16826,17047,17361,17362,17516,17516,18951,19773,20526,20634
Gridley,6634,6605,6605,6603,6624,6617,6622,6636,7246,7246,7385,7348,7274,7269
Grover Beach,13176,13210,13307,13403,13464,13526,13586,13585,13459,13459,12701,12734,12644,12547
Guadalupe,7086,7091,7139,7191,7248,7279,7288,7319,7783,7783,8219,8538,8569,8622
Gustine,5534,5582,5601,5621,5649,5712,5801,5815,5882,5882,6138,6147,6131,6099
Half Moon Bay,11345,11501,11677,12054,12355,12657,12761,12840,12932,12932,11771,11379,11181,11105
Hanford,54463,54612,54524,54741,55086,55608,55663,56383,57703,57703,59135,59564,59600,59938
Hawaiian Gardens,14277,14329,14376,14419,14430,14461,14423,14356,14159,14159,14092,13796,13563,13396
Hawthorne,84295,84922,85359,85863,86740,87669,87685,87308,86068,86068,87784,85928,84433,83364
Hayward,144835,146935,149406,151753,154376,157999,159331,160324,159203,159203,162666,158375,156371,155675
